,lakeID,Perimeter,NoPoints,MaxLength,Spacing
631,NLA06608-0925,1120836.3,3000,46769.92937,373.6120999
594,NLA06608-0483,712617.0773,3000,15311.88734,237.5390258
743,NLA06608-1668,659837.8772,3000,7332.019015,219.9459591
560,NLA06608-3083,634196.5369,3000,27039.00454,211.3988456
141,NLA06608-2831,495308.4167,3000,10608.76022,165.1028056
543,NLA06608-TX:30,391572.1138,3000,16990.84661,130.5240379
545,NLA06608-1800,363712.0431,3000,13018.31195,121.2373477
99,NLA06608-0361,361926.0825,3000,7228.741993,120.6420275
607,NLA06608-1284,264604.5894,3000,11618.34107,88.20152981
746,NLA06608-1985,220016.3923,3000,15670.64212,73.33879743
722,NLA06608-0257,217776.5009,3000,19086.49388,72.59216698
242,NLA06608-1652,204586.5316,3000,4252.120636,68.19551054
528,NLA06608-0244,194106.0292,3000,11096.4059,64.70200972
739,NLA06608-1288,182749.9674,3000,14382.71423,60.91665579
446,NLA06608-0950,182492.4364,3000,19807.82933,60.83081215
502,NLA06608-4320,182317.0701,3000,11332.97991,60.77235671
559,NLA06608-0456,178787.6654,3000,18655.58187,59.59588848
572,NLA06608-TX:5,178673.1758,3000,16391.53721,59.55772528
342,NLA06608-4650,172678.4187,3000,10216.64919,57.5594729
150,NLA06608-1059,163307.7888,3000,46052.30207,54.43592961
563,NLA06608-2807,162528.8754,3000,9795.985176,54.1762918
720,NLA06608-3157,143901.9713,3000,5143.276604,47.96732375
265,NLA06608-0239,142352.033,3000,7814.035016,47.45067768
585,NLA06608-TX:14,141557.9064,3000,13587.76986,47.18596881
140,NLA06608-1323,140424.3534,3000,10362.86727,46.8081178
616,NLA06608-0637,135890.9479,3000,12369.38693,45.29698262
87,NLA06608-R322,135194.7986,3000,3904.825358,45.06493285
555,NLA06608-1300,130842.1736,3000,10923.81802,43.61405788
397,NLA06608-R736,129110.2139,3000,10256.41238,43.03673796
109,NLA06608-FL:107895579,117956.1688,3000,10621.73604,39.31872293
407,NLA06608-R759,115436.1459,3000,9148.354984,38.47871531
564,NLA06608-0599,108143.6321,3000,13682.35387,36.04787736
179,NLA06608-0341,104289.6509,3000,31787.56304,34.76321696
544,NLA06608-0328,103747.7331,3000,13750.07154,34.5825777
566,NLA06608-TX:29,98197.47193,3000,6673.342189,32.73249064
218,NLA06608-0041,97970.9725,3000,3620.289275,32.65699083
520,NLA06608-3320,86503.72746,3000,6985.377544,28.83457582
136,NLA06608-0089,84214.96407,3000,10388.32721,28.07165469
286,NLA06608-0860,79128.82342,3000,4564.290813,26.37627447
137,NLA06608-0203,75195.9319,3000,2380.422192,25.06531063
268,NLA06608-0403,73848.37316,3000,11574.64587,24.61612439
95,NLA06608-0473,70007.11027,3000,5228.067171,23.33570342
221,NLA06608-0580,66453.98444,3000,1499.155604,22.15132815
138,NLA06608-0921,63716.08214,3000,3256.480843,21.23869405
387,NLA06608-1975,63606.92004,3000,8759.601058,21.20230668
210,NLA06608-0111,62768.26758,3000,5932.682337,20.92275586
111,NLA06608-1861,62476.58963,3000,19170.50268,20.82552988
741,NLA06608-1358,59835.52325,3000,18720.33447,19.94517442
248,NLA06608-0847,59596.33412,3000,12950.79699,19.86544471
433,NLA06608-2874,59012.21728,3000,6223.535898,19.67073909
344,NLA06608-1863,58349.42261,3000,4376.427386,19.44980754
250,NLA06608-0066,58269.40058,3000,4777.806414,19.42313353
461,NLA06608-1959,55338.58448,3000,8859.687642,18.44619483
76,NLA06608-R326,55280.85611,3000,2470.895123,18.42695204
177,NLA06608-0021,55150.5535,3000,23961.61434,18.38351783
586,NLA06608-0260,54769.22721,3000,6519.56765,18.25640907
654,NLA06608-2889,54283.00503,3000,22931.58966,18.09433501
263,NLA06608-2507,53716.34315,3000,3210.673004,17.90544772
721,NLA06608-0581,51933.74904,3000,8682.360066,17.31124968
687,NLA06608-0849,49078.72151,3000,11517.96854,16.35957384
592,NLA06608-0015,48904.86747,3000,1626.30942,16.30162249
726,NLA06608-0393,47609.38264,3000,2763.11264,15.86979421
686,NLA06608-1958,46660.44519,3000,7259.259203,15.55348173
507,NLA06608-1960,46152.49478,3000,6312.339827,15.38416493
391,NLA06608-1052,44963.88587,3000,9180.309386,14.98796196
78,NLA06608-R323,43698.58711,3000,1517.734388,14.5661957
120,NLA06608-0618,43651.50554,3000,5210.54234,14.55050185
556,NLA06608-TX:22,43518.73934,3000,6113.643215,14.50624645
629,NLA06608-1602,42603.83555,3000,5328.592093,14.20127852
341,NLA06608-0436,42305.70435,3000,2843.865096,14.10190145
546,NLA06608-0500,42288.64298,3000,3119.084099,14.09621433
149,NLA06608-0291,42180.05054,3000,11460.17726,14.06001685
139,NLA06608-1241,42125.01886,3000,2279.79238,14.04167295
213,NLA06608-0893,40637.47726,3000,2745.655654,13.54582575
730,NLA06608-1461,40392.88003,3000,8476.425567,13.46429334
508,NLA06608-4643,39603.72881,3000,3638.865165,13.20124294
343,NLA06608-2524,39124.45816,3000,5798.013557,13.04148605
676,NLA06608-0561,39102.03621,3000,9903.103651,13.03401207
596,NLA06608-0495,39071.3318,3000,3972.016077,13.02377727
701,NLA06608-0597,38582.90681,3000,14101.2921,12.86096894
745,NLA06608-1010,38113.97085,3000,3210.90694,12.70465695
270,NLA06608-0238,37353.03474,3000,8951.672855,12.45101158
561,NLA06608-3228,37185.04218,3000,6633.410945,12.39501406
650,NLA06608-1893,36537.07518,3000,5929.022134,12.17902506
92,NLA06608-0857,36373.11686,3000,5316.570024,12.12437229
220,NLA06608-1103,36028.16554,3000,5860.624306,12.00938851
495,NLA06608-1120,35674.44669,3000,3927.965508,11.89148223
574,NLA06608-0144,35275.71975,3000,6942.15222,11.75857325
295,NLA06608-0859,35159.3757,3000,3081.606221,11.7197919
657,NLA06608-1153,34522.68755,3000,14852.54924,11.50756252
209,NLA06608-0509,34222.03626,3000,3266.009944,11.40734542
404,NLA06608-0720,34060.21074,3000,5202.16139,11.35340358
693,NLA06608-1873,34011.61322,3000,7427.02016,11.33720441
588,NLA06608-0116,33377.39112,3000,3503.641926,11.12579704
568,NLA06608-1436,33152.82193,3000,4662.011498,11.05094064
212,NLA06608-0863,32701.4809,3000,4897.466024,10.90049363
670,NLA06608-1057,31935.42295,3000,9710.055787,10.64514098
672,NLA06608-0650,31614.40091,3000,7774.243585,10.53813364
122,NLA06608-0651,31388.92583,3000,4317.267867,10.46297528
328,NLA06608-0672,30830.65131,3000,4715.208392,10.27688377
692,NLA06608-0209,30797.65052,3000,8342.442711,10.26588351
335,NLA06608-MN:06-0002,30577.73837,3000,5456.896699,10.19257946
581,NLA06608-1623,824.341637,82,315.8505531,10.05294679
102,NLA06608-0297,823.8384557,82,320.9763598,10.04681044
346,NLA06608-0048,1053.717151,105,388.4103536,10.03540144
611,NLA06608-0090,1324.579191,132,564.0467791,10.03469084
355,NLA06608-0634,1594.983184,159,623.5122869,10.03134078
519,NLA06608-1356,1223.566656,122,396.4215148,10.02923488
613,NLA06608-1183,1624.7326,162,570.7542413,10.02921358
614,NLA06608-0671,1263.639992,126,460.6751992,10.02888883
38,NLA06608-ELS:1C2-032,1654.676394,165,562.0720926,10.02834178
711,NLA06608-1425,1534.309038,153,510.9121825,10.02816365
131,NLA06608-0865,1203.305149,120,473.8900067,10.02754291
17,NLA06608-0802,1684.513595,168,625.5694401,10.02686664
697,NLA06608-1281,972.605338,97,386.8706115,10.02685915
153,NLA06608-0811,1233.288588,123,416.1230764,10.02673649
565,NLA06608-0072,1293.335986,129,476.9041054,10.02586036
168,NLA06608-1690,1513.770816,151,479.5890138,10.02497229
390,NLA06608-1208,1573.896217,157,576.9659973,10.02481667
579,NLA06608-1992,1122.716604,112,395.0987806,10.02425539
39,NLA06608-ALPS-1218,1182.856154,118,433.8381739,10.0242047
321,NLA06608-1075,1874.462577,187,638.4133114,10.02386405
260,NLA06608-1556,1663.924447,166,503.3039992,10.02364124
256,NLA06608-1163,1854.27833,185,746.6788658,10.02312611
323,NLA06608-R715,1743.988068,174,664.2056483,10.02291993
587,NLA06608-0340,1683.845786,168,726.3745635,10.02289158
548,NLA06608-0616,1332.895576,133,434.629,10.02177125
661,NLA06608-1537,1513.273316,151,500.1588066,10.02167759
195,NLA06608-1643,1894.066552,189,711.0203641,10.02151615
393,NLA06608-0312,1853.940193,185,734.7939074,10.02129834
600,NLA06608-1695,1833.889771,183,591.394131,10.02125558
558,NLA06608-1496,1242.616008,124,368.2648947,10.02109684
89,NLA06608-0413,1713.592838,171,694.3778296,10.02101075
101,NLA06608-0025,1923.891738,192,751.3353427,10.02026947
562,NLA06608-0712,1723.473807,172,608.267787,10.02019655
88,NLA06608-0345,2084.015012,208,822.1796852,10.01930294
728,NLA06608-0565,2524.842458,252,842.5048425,10.0192161
444,NLA06608-0842,1583.032223,158,508.27439,10.01919129
246,NLA06608-1060,1462.761661,146,315.8056354,10.01891549
468,NLA06608-1510,1863.408006,186,382.3988856,10.01832261
576,NLA06608-1735,1172.140923,117,498.0625644,10.01829849
338,NLA06608-1166,2123.833532,212,758.1856623,10.0180827
105,NLA06608-0594,1182.132738,118,491.8047561,10.01807405
465,NLA06608-1655,2043.64804,204,618.2025598,10.01788255
580,NLA06608-2663,2614.565671,261,1019.397631,10.01749299
590,NLA06608-1236,1712.990366,171,614.0682452,10.01748752
462,NLA06608-0259,1672.787154,167,641.3333397,10.01668954
541,NLA06608-0984,1572.582435,157,606.6142682,10.01644863
125,NLA06608-1087,821.3306022,82,300.5186005,10.01622686
27,NLA06608-2566,3094.975836,309,1154.940686,10.01610303
315,NLA06608-MN:74-0023,2584.153621,258,1043.58319,10.01609931
110,NLA06608-0709,2423.853481,242,876.1107174,10.01592347
425,NLA06608-0692,2113.353703,211,534.633928,10.01589433
577,NLA06608-2776,1772.762234,177,663.3522454,10.01560584
310,NLA06608-MN:61-0037,3064.752625,306,1017.877587,10.01553145
364,NLA06608-1102,1592.440038,159,600.9830937,10.01534615
523,NLA06608-1488,2333.574892,233,634.1688165,10.01534288
18,NLA06608-0674,2413.639099,241,902.990269,10.0151
480,NLA06608-0531,1822.691772,182,765.9897244,10.01478996
301,NLA06608-1840,2163.171866,216,749.406444,10.01468457
459,NLA06608-0179,2153.101726,215,564.0109715,10.01442663
732,NLA06608-1481,3294.564001,329,1030.605648,10.01387234
156,NLA06608-0987,1772.449513,177,620.7182698,10.01383906
447,NLA06608-2266,1451.98991,145,615.2502215,10.01372352
423,NLA06608-1147,3134.280059,313,1280.143045,10.01367431
254,NLA06608-0479,1952.611277,195,819.7069151,10.01339116
395,NLA06608-1012,1792.376835,179,563.1569585,10.01327841
163,NLA06608-1515,2252.969079,225,829.513764,10.01319591
1,NLA06608-NELP-1330,2022.65152,202,514.3223266,10.01312634
356,NLA06608-0014,1331.737165,133,524.2653991,10.01306139
133,NLA06608-FL:99344895,2503.256777,250,777.5614675,10.01302711
685,NLA06608-R10COUNCI,1832.310568,183,736.3237185,10.01262605
164,NLA06608-0619,3754.729292,375,1327.880516,10.01261144
575,NLA06608-1224,3284.078051,328,1262.331998,10.01243308
493,NLA06608-0779,1882.307146,188,509.1227209,10.01227205
681,NLA06608-0005,1912.340785,191,637.117987,10.01225542
162,NLA06608-2523,3253.947834,325,722.0151593,10.01214718
285,NLA06608-1223,3544.296542,354,833.3770764,10.01213713
349,NLA06608-0583,3444.088158,344,1188.349103,10.01188418
365,NLA06608-0190,981.1593598,98,395.4557676,10.0118302
121,NLA06608-1711,1611.894906,161,604.0105169,10.0117696
498,NLA06608-0276,3153.685128,315,959.4895977,10.01169882
25,NLA06608-1586,4274.958343,427,1597.16765,10.01161204
358,NLA06608-0302,1291.497803,129,479.6588236,10.01161088
374,NLA06608-0247,3964.571548,396,1338.77775,10.01154431
94,NLA06608-1177,2843.270654,284,866.476122,10.01151639
189,NLA06608-ELS:2C2-048,1051.208326,105,350.1641332,10.01150787
130,NLA06608-2565,3083.524815,308,1128.780335,10.0114442
143,NLA06608-1654,3624.102494,362,1200.178789,10.01133286
359,NLA06608-0174,3043.379175,304,1118.424178,10.01111571
677,NLA06608-0049,1902.06945,190,465.1230602,10.01089184
325,NLA06608-0968,4104.440953,410,1480.374059,10.01083159
249,NLA06608-0957,2172.307381,217,726.303848,10.01063309
535,NLA06608-3480,2682.787955,268,672.8524601,10.01040282
187,NLA06608-1242,3103.122072,310,759.5473779,10.0100712
703,NLA06608-2726,2242.227386,224,793.207952,10.00994369
34,NLA06608-0293,2432.410546,243,892.3832883,10.00991994
194,NLA06608-0875,2492.434581,249,935.3038026,10.00977743
24,NLA06608-2354,1801.759566,180,692.3048483,10.00977537
410,NLA06608-R788,1911.842817,191,737.1191133,10.00964826
326,NLA06608-1232,1841.771733,184,538.0118005,10.00962898
75,NLA06608-1005,1451.382122,145,598.7743606,10.00953187
192,NLA06608-0107,1401.326442,140,511.104372,10.00947459
353,NLA06608-1038,5324.866962,532,1590.411072,10.00914842
649,NLA06608-3313,5414.900826,541,1458.744328,10.00905883
688,NLA06608-0658,3653.2951,365,1455.648376,10.00902767
73,NLA06608-1517,4684.187314,468,734.5696415,10.00894725
436,NLA06608-1002,1100.975687,110,266.1695207,10.00886988
262,NLA06608-OH:19,530.466118,53,196.9046441,10.00879468
43,NLA06608-0226,990.8569561,99,342.9038897,10.00865612
47,NLA06608-0946,5454.704064,545,1363.542887,10.00863131
253,NLA06608-OH:22,1611.382999,161,685.4083796,10.00859006
704,NLA06608-2134,4553.90309,455,774.4603306,10.00857822
35,NLA06608-0294,4683.993435,468,1886.335024,10.00853298
300,NLA06608-0624,5294.492439,529,954.7217856,10.00849232
421,NLA06608-0452,1130.957865,113,457.0346989,10.00847668
377,NLA06608-1259,1761.478314,176,640.9278853,10.00839951
278,NLA06608-2135,5664.750109,566,2170.033326,10.00839242
479,NLA06608-0899,3602.988337,360,1258.799806,10.00830094
440,NLA06608-1968,4914.045236,491,1546.201987,10.00823877
119,NLA06608-1039,3182.5996,318,893.4532749,10.00817484
229,NLA06608-1332,5854.656935,585,893.9882484,10.00796057
63,NLA06608-2253,5394.190873,539,719.236814,10.00777527
597,NLA06608-0511,5734.454218,573,1986.825793,10.0077735
396,NLA06608-1460,4283.307159,428,1195.163052,10.00772701
514,NLA06608-3616,5183.957208,518,1482.995032,10.0076394
55,NLA06608-1273,4253.154529,425,1325.201057,10.00742242
184,NLA06608-ELS:2B2-008,970.7094067,97,344.5746958,10.00731347
320,NLA06608-0462,6724.892883,672,2090.180323,10.00728108
706,NLA06608-1638,5453.936151,545,1570.754426,10.00722229
385,NLA06608-1148,5844.212145,584,2054.46971,10.00721258
203,NLA06608-0399,3112.23228,311,634.263301,10.00717775
259,NLA06608-2196,1390.963987,139,455.4756473,10.00693516
598,NLA06608-1455,1230.846364,123,502.8104309,10.00688101
54,NLA06608-0421,3982.719367,398,1090.832759,10.00683258
347,NLA06608-0080,6184.212282,618,1866.200844,10.00681599
415,NLA06608-R791,4643.107639,464,1589.522881,10.0066975
23,NLA06608-1906,6204.141332,620,1454.693603,10.00667957
62,NLA06608-0717,7064.571813,706,1605.49875,10.00647566
497,NLA06608-0596,5783.741208,578,2123.712267,10.00647268
529,NLA06608-0204,3161.994896,316,1010.029366,10.00631296
333,NLA06608-MN:77-0019,6744.241793,674,1490.166431,10.00629346
510,NLA06608-1124,4812.918077,481,1791.46408,10.00606669
483,NLA06608-1086,4432.654484,443,1335.220655,10.00599206
512,NLA06608-1508,2501.493662,250,637.4695317,10.00597465
547,NLA06608-0228,6814.048641,681,2023.505515,10.00594514
521,NLA06608-4414,3612.142093,361,1387.225222,10.00593377
211,NLA06608-0189,2811.665466,281,1069.911271,10.00592692
378,NLA06608-2027,1851.075929,185,685.3525092,10.00581583
668,NLA06608-1041,5833.38878,583,1916.104068,10.00581266
618,NLA06608-0733,7544.309782,754,3051.684661,10.00571589
635,NLA06608-NV:4,7544.309782,754,3041.196757,10.00571589
26,NLA06608-2162,2921.667513,292,1107.084519,10.00571066
537,NLA06608-1432,1510.844978,151,538.137026,10.00559588
501,NLA06608-4064,4482.479567,448,1265.658891,10.00553475
245,NLA06608-0980,3181.756186,318,1203.266363,10.0055226
696,NLA06608-2177,5142.782984,514,1886.500266,10.00541437
615,NLA06608-2345,4932.658282,493,1464.947535,10.00539205
678,NLA06608-0625,1310.689283,131,587.2577284,10.0052617
16,NLA06608-9999,9604.985723,960,3372.661601,10.00519346
476,NLA06608-0062,2861.482291,286,916.3325805,10.00518284
527,NLA06608-2996,5762.980612,576,1522.190763,10.00517467
367,NLA06608-1836,4682.420616,468,1775.752291,10.00517226
166,NLA06608-1370,1400.721042,140,502.383777,10.0051503
135,NLA06608-2154,2441.24006,244,821.1339062,10.00508222
609,NLA06608-0132,4592.319591,459,1887.109273,10.00505357
437,NLA06608-0944,7423.741765,742,1855.209045,10.00504281
477,NLA06608-1006,9584.777636,958,2591.451278,10.00498709
569,NLA06608-2759,3161.549117,316,1403.060867,10.00490227
666,NLA06608-0449,2841.391505,284,967.0906362,10.00489966
316,NLA06608-0158,5472.64907,547,1989.931185,10.00484291
557,NLA06608-2072,920.4446988,92,327.4722161,10.00483368
313,NLA06608-0926,3491.678469,349,1173.21319,10.00480937
571,NLA06608-1630,9074.345548,907,2489.799818,10.00479112
82,NLA06608-1421,8664.126613,866,1886.06806,10.00476514
193,NLA06608-2155,3561.638822,356,1224.653225,10.00460343
147,NLA06608-0630,2861.289252,286,925.765176,10.00450787
578,NLA06608-3096,2411.075527,241,797.7132836,10.00446277
715,NLA06608-R10CHARLT,3971.767973,397,1132.889992,10.00445333
145,NLA06608-1910,2991.327195,299,942.7108973,10.00443878
682,NLA06608-1329,8313.622843,831,3574.107242,10.00435962
428,NLA06608-2039,6362.733777,636,1176.422041,10.00429839
606,NLA06608-0169,6122.626758,612,1911.227715,10.00429209
157,NLA06608-0043,2881.223083,288,770.9590522,10.00424682
475,NLA06608-0442,4832.043274,483,754.2844085,10.00423038
517,NLA06608-1420,2711.121376,271,1015.094194,10.00413792
334,NLA06608-MN:75-0200,7292.990106,729,2166.632118,10.00410165
84,NLA06608-R334,9854.001447,985,2971.974987,10.00406238
68,NLA06608-1401,7292.9551,729,3293.528208,10.00405364
417,NLA06608-R796,9573.877292,957,2468.652213,10.00405151
65,NLA06608-0661,8863.581858,886,1646.009923,10.00404273
30,NLA06608-3890,8693.486689,869,2958.793354,10.0040123
443,NLA06608-0570,12104.84822,1210,3561.106212,10.0040068
90,NLA06608-0217,9543.806815,954,1376.405842,10.00399037
296,NLA06608-1179,4471.772345,447,1192.903987,10.00396498
304,NLA06608-MN:03-0029,3091.221088,309,873.8852559,10.00395174
306,NLA06608-2007,5172.037661,517,1299.042093,10.00394132
6,NLA06608-EMAP:ME011L,3131.223433,313,1272.821752,10.00390873
277,NLA06608-1367,4831.875103,483,936.4829935,10.0038822
128,NLA06608-0453,10444.03775,1044,3567.020915,10.00386757
118,NLA06608-0207,1140.438968,114,425.1847513,10.0038506
593,NLA06608-1295,3951.474379,395,705.9556267,10.0037326
219,NLA06608-1375,13044.84065,1304,4610.626272,10.00371215
505,NLA06608-0744,1610.574295,161,480.786432,10.00356705
376,NLA06608-2715,9363.327029,936,2930.699509,10.00355452
542,NLA06608-4698,10593.71293,1059,1169.900672,10.00350607
422,NLA06608-1595,7602.656468,760,2613.552888,10.00349535
522,NLA06608-2076,3811.314704,381,1215.200251,10.00345067
182,NLA06608-1274,3721.282644,372,1347.772887,10.00344797
41,NLA06608-0470,5852.00144,585,1872.283857,10.00342126
638,NLA06608-0497,3561.203947,356,1059.779084,10.00338187
274,NLA06608-0622,9943.36039,994,2584.151818,10.00338067
206,NLA06608-0753,4951.644326,495,887.0226316,10.00332187
67,NLA06608-0377,1060.35085,106,417.2276969,10.00330991
59,NLA06608-0869,4141.366244,414,1200.073827,10.00330011
40,NLA06608-NH250L,1050.345158,105,360.2543617,10.00328722
431,NLA06608-0833,9263.027357,926,3279.26209,10.00326928
354,NLA06608-1342,3121.014507,312,812.7358755,10.00325163
115,NLA06608-1185,14394.58413,1439,5243.629273,10.00318563
294,NLA06608-0091,9002.827361,900,3368.469741,10.00314151
381,NLA06608-1739,5001.562478,500,1832.293055,10.00312496
340,NLA06608-0176,9983.099522,998,1632.682738,10.00310573
679,NLA06608-1073,2970.914905,297,777.1872959,10.00308049
509,NLA06608-R730,9092.760823,909,2520.840089,10.00303721
79,NLA06608-ALSC:020149,12303.58632,1230,2005.0089,10.00291571
273,NLA06608-0878,9642.809043,964,3517.197337,10.00291395
499,NLA06608-0372,3330.92427,333,1501.488089,10.00277558
276,NLA06608-0215,13573.75973,1357,3329.100165,10.00277062
64,NLA06608-0029,11193.06427,1119,2063.215596,10.0027384
622,NLA06608-0809,8722.381394,872,1775.610246,10.00273096
473,NLA06608-1462,3580.974137,358,694.8785543,10.00272105
172,NLA06608-1802,10192.75204,1019,2634.103061,10.00270072
155,NLA06608-3035,2000.539295,200,669.8659327,10.00269648
633,NLA06608-2457,6951.864033,695,1657.230368,10.00268206
70,NLA06608-R32,13403.5304,1340,2124.31054,10.00263463
330,NLA06608-MN:51-0063,12193.16361,1219,3416.119039,10.00259525
173,NLA06608-0463,16874.3351,1687,2296.13779,10.00256971
733,NLA06608-1141,4541.135392,454,1603.336687,10.00250086
442,NLA06608-1610,9812.43968,981,1129.741903,10.00248693
455,NLA06608-0339,5471.35705,547,1338.262272,10.0024809
504,NLA06608-0440,14623.55378,1462,2301.776856,10.00243077
21,NLA06608-1222,2550.613732,255,917.0499793,10.00240679
61,NLA06608-1209,16263.88515,1626,3011.378258,10.00238939
361,NLA06608-0254,5741.364067,574,1650.647593,10.00237642
427,NLA06608-3656,3670.86664,367,1110.471891,10.00236142
599,NLA06608-1818,6351.442662,635,1295.48832,10.00227191
518,NLA06608-1016,3240.732163,324,972.1523642,10.00225976
132,NLA06608-1825,5891.305028,589,1789.233615,10.00221567
481,NLA06608-2131,3470.740949,347,1258.688008,10.0021353
500,NLA06608-0872,6541.39037,654,2170.451093,10.00212595
56,NLA06608-1037,22144.68403,2214,2505.445624,10.00211564
659,NLA06608-1089,11122.33009,1112,3704.813875,10.00209541
482,NLA06608-1107,5571.165532,557,1331.810643,10.00209252
445,NLA06608-2634,2150.448636,215,868.7786648,10.00208668
324,NLA06608-1035,8211.691321,821,1807.448366,10.00206007
127,NLA06608-1413,20944.31219,2094,7409.237247,10.00205931
305,NLA06608-MN:49-0140,4730.973555,473,1474.727667,10.00205826
60,NLA06608-0185,8191.647318,819,2304.118596,10.00201138
44,NLA06608-0550,4630.903165,463,1719.786112,10.00195068
441,NLA06608-1338,15752.89588,1575,2248.782823,10.00183865
582,NLA06608-2094,940.1720102,94,337.5011242,10.0018299
451,NLA06608-2714,2700.488483,270,988.2321045,10.0018092
506,NLA06608-4949,17583.1663,1758,2221.216899,10.00180108
239,NLA06608-0148,4690.836885,469,850.9820588,10.0017844
170,NLA06608-0502,2870.498832,287,954.1310108,10.00173809
337,NLA06608-0823,8421.450712,842,2736.583981,10.00172294
430,NLA06608-1879,26884.56154,2688,6818.374411,10.001697
297,NLA06608-1724,3670.611439,367,875.3991486,10.00166605
228,NLA06608-1263,10301.69235,1030,1245.856576,10.00164306
299,NLA06608-0480,3270.536808,327,797.2979718,10.00164162
384,NLA06608-0344,27584.42538,2758,3806.212706,10.00160456
13,NLA06608-0354,2370.376013,237,732.2853586,10.00158655
