"","LakeID","Perimeter","CoarseNoPoints","CoarseMaxLength","FineNoPoints","FineMaxLength"
"1","NLA06608-0401",51825.6934338,104,14468.4063780973,580,14496.9999895233
"2","NLA06608-0150",45445.1289576,91,7323.11994801199,862,7529.74688881496
"3","NLA06608-0930",42067.8842603,84,7302.80592373709,954,7684.74094863728
"4","NLA06608-1465",36541.676453,73,4523.67553597188,1082,5098.44667611655
"5","NLA06608-R324",51617.7125738,103,1754.60503669602,2507,2704.00395545277
"6","NLA06608-0514",185767.085122,372,2689.35018524911,1536,3024.96752597802
"7","NLA06608-3169",306427.499423,613,57439.4570533475,911,57747.4791712234
"8","NLA06608-2117",57308.5830905,115,14199.3723737015,625,14225.0355463972
"9","NLA06608-1733",136440.926636,273,12303.8830046695,1137,12877.488162579
"10","NLA06608-2074",130266.760866,261,6297.32831462386,1550,8674.6837095598
"11","NLA06608-2629",33225.6131035,66,8425.58138308466,726,8727.16691798358
"12","NLA06608-1113",148308.586336,297,3396.2737932262,2178,3644.1059609422
"13","NLA06608-0591",247609.133032,495,3861.89403602084,1900,5950.98102254128
"14","NLA06608-0938",47989.5240723,96,6915.36463274697,1078,7513.18397813201
"15","NLA06608-0623",34202.0731556,68,2576.81240987766,803,3150.85894468525
"16","NLA06608-1045",89777.6494665,180,16335.8230988,745,17789.0512351211
"17","NLA06608-0020",35730.5291532,71,1119.74801605347,1339,2459.41890734277
"18","NLA06608-0681",50286.7560769,101,2675.99668239485,1554,2799.95816475364
"19","NLA06608-0212",88595.9393051,177,6397.10256037404,1340,7910.65614079748
"20","NLA06608-0783",36915.0103863,74,2328.56365406128,1399,3792.37419053181
"21","NLA06608-0271",72466.6343712,145,5217.81482808334,1515,5385.69746841597
"22","NLA06608-0751",61563.612517,123,2449.28216488832,1086,2931.10244542365
"23","NLA06608-0943",97636.5888399,195,3733.82195777924,2808,5233.56992943205
"24","NLA06608-0191",43814.9381943,88,2588.58395533158,1099,3212.368188827
"25","NLA06608-1348",253317.295992,507,4538.58387527515,3192,6740.10529652568
"26","NLA06608-0359",99966.8907382,200,15051.6902287352,763,17121.0814260375
"27","NLA06608-0846",107486.212566,215,4157.00977666392,2211,4692.78645615162
"28","NLA06608-1204",174468.137994,349,4368.53136437598,3227,4752.74646180122
"29","NLA06608-1504",186521.113191,373,3423.22364286982,1894,5348.37117192571
"30","NLA06608-2492",234035.750174,468,24566.5305993627,1124,25311.9489210366
"31","NLA06608-0432",99584.1204526,199,10836.7934629668,832,10990.4426070522
"32","NLA06608-0240",50247.433132,100,6542.49024352821,1155,7409.60100905942
"33","NLA06608-2740",74592.9492326,149,4604.35382269401,2307,5932.82135733336
"34","NLA06608-2152",182811.942904,366,3467.18770145024,1691,5360.84872934473
"35","NLA06608-0076",171289.083051,343,10658.9515895227,2232,11426.5206594829
"36","NLA06608-2332",93719.9314114,187,14312.5869024786,1054,15034.2663288668
"37","NLA06608-2640",44365.6875241,89,2300.05937558816,1245,3676.99344608351
"38","NLA06608-0560",168855.824633,338,18570.7154057487,1332,20959.5874236235
"39","NLA06608-0376",285105.938786,570,6854.46976495148,1722,7606.65902615886
"40","NLA06608-4056",55441.8544003,111,9635.17958744374,1027,9781.58779874485
"41","NLA06608-1047",968732.229322,1937,37630.7961470339,1612,38078.7812438262
"42","NLA06608-4686",54660.3477041,109,5475.08192122768,1535,5968.97081868802
"43","NLA06608-1608",150607.240699,301,8773.9678460648,1303,9923.9776410199
"44","NLA06608-2823",35756.4931479,72,3702.14107213723,1401,4944.24805428038
"45","NLA06608-0024",233707.450622,467,12916.7025256724,1474,14321.9695780121
"46","NLA06608-0792",280803.143879,562,12685.7132012612,1090,12855.9820493113
"47","NLA06608-1560",186175.249888,372,15381.2515405509,1429,16385.9208592682
"48","NLA06608-1372",57032.7446307,114,8390.16373882171,1552,10433.4588727568
"49","NLA06608-2463",50979.0975511,102,3759.34639289886,1379,4078.84947231623
"50","NLA06608-0794",38104.8307061,76,9441.68628148715,730,10227.4610652743
"51","NLA06608-2095",33070.3209215,66,3881.81868664383,1036,4849.33339056456
"52","NLA06608-1529",155991.355698,312,10651.0674365143,854,10971.8486387261
"53","NLA06608-0529",98786.8235912,198,6233.66074583185,1013,7311.50201550925
"54","NLA06608-1717",131866.944864,264,5939.72084498563,1801,7579.06696379429
"55","NLA06608-0277",63632.0245864,127,12534.3494913135,892,12611.1260253904
"56","NLA06608-1190",43271.9298904,87,7913.4111263732,627,7951.68863435102
"57","NLA06608-0934",34574.5425592,69,9032.9050735675,729,9399.87154136736
"58","NLA06608-1781",31588.4241083,63,1259.01285876748,1279,2114.16543582999
"59","NLA06608-1278",226210.202458,452,16271.5791539748,697,16416.1997766837
"60","NLA06608-0433",941222.590199,1882,59199.0283776351,945,60951.101253766
"61","NLA06608-0229",75929.884629,152,7424.8062573481,1253,9136.83583087214
"62","NLA06608-2187",101907.884779,204,4381.72651582023,852,6237.5762535917
"63","NLA06608-0332",224032.569348,448,10069.4454141171,1589,10136.8463050669
"64","NLA12_FL-126",40976.3602403,82,9686.22146116631,747,9758.24560003553
"65","NLA12_IL-111",36184.4982454,72,1225.72303782064,1250,2846.36583828171
"66","NLA12_WV-106",58686.6248158,117,4910.4223333053,881,6016.92790689345
"67","NLA12_LA-134",107510.126684,215,19575.4189148932,626,19793.0990131337
"68","NLA12_ND-194",86023.6936617,172,7882.94613861115,799,8569.90383097398
"69","NLA12_ND-131",51392.1531111,103,3780.21486844816,1458,4013.48632911928
"70","NLA12_NM-129",93070.874081,186,4026.21103924011,1903,5076.87550873705
"71","NLA12_OK-134",62262.501342,125,4954.21961319771,1422,5181.35252197315
"72","NLA12_TX-121",41010.3091796,82,6558.53221331684,1120,6869.77247531683
"73","NLA12_TX-137",33500.6530563,67,3105.09374546545,1593,3925.85982019301
"74","NLA12_TX-165",69061.1084515,138,8512.28051624513,1369,10072.413250351
"75","NLA12_OR-169",32699.939669,65,4430.87022337567,869,4774.34130260584
"76","NLA12_CA-121",41100.3918372,82,4437.54791630555,838,4842.32376696562
"77","NLA12_CA-180",126167.315906,252,7808.51756972583,1164,9959.68696694182
"78","NLA12_CA-188",33938.9978107,68,1621.81473676553,1063,2542.50390476748
"79","NLA12_WA-151",43538.7659365,87,7269.22212571347,734,7378.72946363035
"80","NLA12_CA-119",199423.652758,399,10662.1374065418,1950,12036.2804580513
"81","NLA12_WY-147",73808.1792979,148,8945.78536593427,817,10172.8903341316
"82","NLA12_TX-124",173601.873908,347,10109.5608993152,1497,11415.8263899554
